id,nombre,nombres_alternativos,via,nivel_curaduria,dimension_principal,dimensiones_pesos,perfil_cognitivo_pesos,familia_paes,tendencia,tendencia_fuente,tendencia_nota,nota_honesta_v1,empleabilidad_1er_anio,ingreso_4to_anio_rango,duracion_real_promedio,arancel_referencia_rango,actualizado_en
administracion_de_empresas,Administración de Empresas,Ingeniería en Administración de Empresas,tecnica_ip_cft,profunda,ges,ges:0.6|dat:0.4,log:0.30|esp:0.05|mem:0.30|ver:0.35,No requiere PAES (IP/CFT),transformacion,WEF Future of Jobs 2025: funciones administrativas en transformación por automatización,"Lo rutinario se automatiza, la gestión queda","La puerta ancha al mundo de los negocios por la vía corta. Lo mismo de siempre aplica: lo repetitivo lo toma el software — especialízate en algo (finanzas, logística, personas).",,,,,
administracion_publica,Administración Pública,,universitaria,profunda,ges,ges:0.5|soc:0.3|dat:0.2,log:0.30|esp:0.00|mem:0.30|ver:0.40,CL+M1+Historia,transformacion,"mifuturo.cl: empleabilidad 89,2%; WEF 2025: funciones administrativas expuestas a automatización",Alta empleabilidad; tareas rutinarias en transformación,"Hacer que el Estado funcione es de las pegas más subvaloradas y estables que existen. Alta empleabilidad; la burocracia repetitiva se automatiza, el criterio no.",,,,,
agronomia,Agronomía,Ingeniería Agronómica,universitaria,profunda,nat,nat:0.6|cie:0.2|ges:0.2,log:0.30|esp:0.20|mem:0.25|ver:0.25,CL+M1+Ciencias,,,,"Chile exporta comida al mundo y alguien tiene que hacerla crecer: campo, agua y tecnología cada vez más mezclados. Pega de terreno con ciencia encima.",,,,,
arquitectura,Arquitectura,,universitaria,profunda,cre,cre:0.5|tec:0.3|cie:0.2,log:0.25|esp:0.45|mem:0.10|ver:0.20,CL+M1+M2 o Historia,,,,"Diseñas espacios donde la gente va a vivir su vida — y también pasas noches sin dormir por entregas. Vocación intensa, mercado competitivo, versatilidad alta.",,,,,
artes_actuacion,Artes / Actuación y Teatro,Licenciatura en Artes; Teatro; Danza,universitaria,profunda,cre,cre:0.9|soc:0.1,log:0.15|esp:0.25|mem:0.25|ver:0.35,CL+M1,contraccion,"mifuturo.cl 2025: empleabilidad 31,4-38,2% e ingresos ~$915.000, las más bajas del sistema",La vocación artística es real; el mercado formal para ella es estrecho,"Nadie estudia esto por el sueldo, y los números lo confirman: la empleabilidad más baja del sistema. Si igual es tu camino — porque para algunos lo es — entra con plan B y ojos abiertos.",,,,,
bioquimica,Bioquímica,Licenciatura en Bioquímica,universitaria,profunda,cie,cie:0.7|sal:0.3,log:0.40|esp:0.10|mem:0.30|ver:0.20,CL+M1+M2+Ciencias,,,,"La ciencia de laboratorio pura: biotecnología, farmacéuticas, investigación. Nicho chico y exigente donde el posgrado casi siempre es parte del plan.",,,,,
biotecnologia,Biotecnología,Ingeniería en Biotecnología,universitaria,profunda,cie,cie:0.6|sal:0.2|nat:0.2,log:0.40|esp:0.10|mem:0.30|ver:0.20,CL+M1+M2+Ciencias,,,,"Editar levaduras para hacer remedios o limpiar relaves con bacterias: ciencia de frontera hecha en Chile. Nicho chico, fascinante, donde el posgrado suele ser parte del viaje.",,,,,
ciberseguridad,Ingeniería / Técnico en Ciberseguridad,Analista de Seguridad TI,universitaria,profunda,dat,dat:0.6|tec:0.4,log:0.45|esp:0.10|mem:0.25|ver:0.20,CL+M1+M2 (o vía técnica IP/CFT),expansion,Política Nacional de Ciberseguridad 2023-2028: ~28.000 especialistas faltantes; Ley Marco 21.663 (2024) crea piso de demanda regulatorio,Déficit crítico con obligación legal de las empresas de tomarse en serio la seguridad,Faltan 28 mil como tú y hay una ley que obliga a las empresas a contratarte. Ser el que defiende el castillo: demanda garantizada por década.,,,,,
ciencia_datos,Ciencia de Datos,Ingeniería en Datos; Analista de Datos,universitaria,profunda,dat,dat:0.6|cie:0.4,log:0.45|esp:0.10|mem:0.20|ver:0.25,CL+M1+M2,expansion,WEF Future of Jobs 2025: especialistas en big data entre los roles de mayor crecimiento global; ACTI para demanda local,Rol top de crecimiento global; evidencia local parcial,Todas las empresas juntan datos y casi ninguna sabe leerlos: tú eres el traductor. De los roles que más crecen en el mundo — Chile incluido.,,,,,
comunicacion_audiovisual,Comunicación Audiovisual,Cine y Televisión; Realización Audiovisual,universitaria,profunda,cre,cre:0.7|tec:0.3,log:0.20|esp:0.30|mem:0.20|ver:0.30,CL+M1,,,,"Vives de hacer que otros sientan cosas con imágenes. Freelance, proyectos y pega irregular al inicio — y hoy todo el mundo necesita video, lo que juega a tu favor.",,,,,
